sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor
10.10.128.67,10.10.128.66,1032,3389,6,1,40,A,2014/12/04T00:05:26.203,0.000,2014/12/04T00:05:26.203,?
10.10.100.6,10.10.192.130,36718,10778,6,1,44,S,2014/12/04T00:05:26.220,0.000,2014/12/04T00:05:26.220,?
10.10.100.6,10.10.192.130,36718,1023,6,1,44,S,2014/12/04T00:05:26.220,0.000,2014/12/04T00:05:26.220,?
10.10.100.6,10.10.192.130,36718,1079,6,1,44,S,2014/12/04T00:05:26.220,0.000,2014/12/04T00:05:26.220,?
10.10.100.6,10.10.192.130,36718,1088,6,1,44,S,2014/12/04T00:05:26.220,0.000,2014/12/04T00:05:26.220,?
10.10.100.6,10.10.192.130,36718,5009,6,1,44,S,2014/12/04T00:05:26.223,0.000,2014/12/04T00:05:26.223,?
10.10.100.6,10.10.192.130,36718,555,6,1,44,S,2014/12/04T00:05:26.223,0.000,2014/12/04T00:05:26.223,?
10.10.100.6,10.10.192.130,36718,45100,6,1,44,S,2014/12/04T00:05:26.223,0.000,2014/12/04T00:05:26.223,?
10.10.100.6,10.10.192.130,36718,32781,6,1,44,S,2014/12/04T00:05:26.224,0.000,2014/12/04T00:05:26.224,?
10.10.100.6,10.10.192.130,36718,6101,6,1,44,S,2014/12/04T00:05:26.224,0.000,2014/12/04T00:05:26.224,?
10.10.100.6,10.10.192.130,36718,4006,6,1,44,S,2014/12/04T00:05:26.224,0.000,2014/12/04T00:05:26.224,?
10.10.100.6,10.10.192.130,36718,1461,6,1,44,S,2014/12/04T00:05:26.225,0.000,2014/12/04T00:05:26.225,?
10.10.100.6,10.10.192.130,36718,6566,6,1,44,S,2014/12/04T00:05:26.225,0.000,2014/12/04T00:05:26.225,?
10.10.100.6,10.10.192.130,36718,2604,6,1,44,S,2014/12/04T00:05:26.225,0.000,2014/12/04T00:05:26.225,?
10.10.100.6,10.10.192.130,36718,3476,6,1,44,S,2014/12/04T00:05:26.225,0.000,2014/12/04T00:05:26.225,?
10.10.100.6,10.10.192.130,36718,2009,6,1,44,S,2014/12/04T00:05:26.226,0.000,2014/12/04T00:05:26.226,?
10.10.100.6,10.10.192.130,36718,42510,6,1,44,S,2014/12/04T00:05:26.228,0.000,2014/12/04T00:05:26.228,?
10.10.100.6,10.10.192.130,36718,49163,6,1,44,S,2014/12/04T00:05:26.229,0.000,2014/12/04T00:05:26.229,?
10.10.100.6,10.10.192.130,36718,1247,6,1,44,S,2014/12/04T00:05:26.229,0.000,2014/12/04T00:05:26.229,?
